Nom_medicament
"A 313 200 000 UI POUR CENT, pommade"
"A 313 50 000 U.I., capsule molle"
"ABACAVIR 300 mg, comprimé pelliculé sécable"
"ABACAVIR/LAMIVUDINE 600 mg/300 mg, comprimé pelliculé"
"ABACAVIR/LAMIVUDINE/ZIDOVUDINE 300 mg/150 mg/300 mg, comprimé pelliculé"
"ABASAGLAR 100 unités/ml, solution injectable en cartouche"
"ABASAGLAR 100 unités/ml, solution injectable en stylo prérempli"
"ABECMA 260 - 500 x 1 000 000 cellules, dispersion pour perfusion"
"ABEVMY 25 mg/mL, solution à diluer pour perfusion"
"ABILIFY 1 mg/mL, solution buvable"
"ABILIFY 10 mg, comprimé"
"ABILIFY 10 mg, comprimé orodispersible"
"ABILIFY 15 mg, comprimé"
"ABILIFY 15 mg, comprimé orodispersible"
"ABILIFY 5 mg, comprimé"
"ABILIFY 7,5 mg/ml, solution injectable"
"ABILIFY MAINTENA 300 mg, poudre et solvant pour suspension injectable à libération prolongée"
"ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie"
"ABILIFY MAINTENA 720 mg, suspension injectable à libération prolongée en seringue préremplie"
"ABILIFY MAINTENA 960 mg, suspension injectable à libération prolongée en seringue préremplie"
"ABIRATERONE 1000 mg, comprimé pelliculé"
"ABIRATERONE 500 mg, comprimé pelliculé"
"ABIRATERONE ACETATE 500 mg, comprimé pelliculé"
"ABIRATERONE KRKA 500 mg, comprimé pelliculé"
"ABRAXANE 5 mg/mL, poudre pour dispersion injectable pour perfusion"
"ABRYSVO, poudre et solvant pour solution injectable. Vaccin du virus respiratoire syncytial (bivalent, recombinant)"
"ABSTRAL 100 microgrammes, comprimé sublingual"
"ABSTRAL 200 microgrammes, comprimé sublingual"
"ABSTRAL 300 microgrammes, comprimé sublingual"
"ABSTRAL 400 microgrammes, comprimé sublingual"
"ABSTRAL 600 microgrammes, comprimé sublingual"
"ABSTRAL 800 microgrammes, comprimé sublingual"
"ABUFENE 400 mg, comprimé"
"ACAMPROSATE 333 mg, comprimé enrobé gastro-résistant"
"ACAMPROSATE 333 mg, comprimé pelliculé gastro-résistant"
"ACARBOSE 100 mg, comprimé"
"ACARBOSE 100 mg, comprimé sécable"
"ACARBOSE 50 mg, comprimé"
"ACARIZAX 12 SQ-HDM, lyophilisat sublingual"
"ACCOFIL 12 MU/0,2 ml, solution injectable ou pour perfusion en seringue préremplie"
"ACCOFIL 30 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie"
"ACCOFIL 48 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie"
"ACCOFIL 70 MU/0,73 ml, solution injectable ou pour perfusion en seringue préremplie"
"ACCUSOL 35 POTASSIUM 2 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration"
"ACCUSOL 35 POTASSIUM 4 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration"
"ACCUSOL 35, solution pour hémofiltration, hémodialyse et hémodiafiltration"
"ACEBUTOLOL 200 mg, comprimé enrobé"
"ACEBUTOLOL 200 mg, comprimé pelliculé"
"ACEBUTOLOL 200 mg, comprimé pelliculé sécable"
"ACEBUTOLOL 400 mg, comprimé enrobé"
"ACEBUTOLOL 400 mg, comprimé pelliculé"
"ACEBUTOLOL 400 mg, comprimé pelliculé sécable"
"ACECLOFENAC 100 mg, comprimé pelliculé"
"ACETATE DE CYPROTERONE 100 mg, comprimé sécable"
"ACETATE DE CYPROTERONE 50 mg, comprimé"
"ACETATE DE CYPROTERONE 50 mg, comprimé sécable"
"ACETATE DE TERLIPRESSINE EVER PHARMA 0,2 mg/ml, solution injectable"
"ACETYLCYSTEINE 200 mg, comprimé effervescent"
"ACETYLCYSTEINE 200 mg, poudre pour solution buvable en sachet-dose"
"ACETYLCYSTEINE ALPEX 600 mg ADULTES, granulés pour solution buvable"
"ACETYLCYSTEINE CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet"
"ACETYLCYSTEINE CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose"
"ACETYLCYSTEINE CONSEIL 200 mg, granulés pour solution buvable en sachet-dose"
"ACETYLCYSTEINE CONSEIL 200 mg, poudre pour solution buvable en sachet"
"ACETYLCYSTEINE CONSEIL 200 mg, poudre pour solution buvable en sachet-dose"
"ACETYLLEUCINE 500 mg, comprimé"
"ACICLOVIR 200 mg, comprimé"
"ACICLOVIR 25 mg/mL, solution à diluer pour perfusion"
"ACICLOVIR 250 mg, poudre pour solution injectable (IV)"
"ACICLOVIR 500 mg, poudre pour solution injectable (IV)"
"ACICLOVIR 800 mg, comprimé"
"ACICLOVIR AGEPHA 30 mg/g, pommade ophtalmique"
"ACICLOVIR GENERIQUES 200 mg, comprimé"
"ACICLOVIR HIKMA 250 mg, poudre pour solution pour perfusion"
"ACICLOVIR HIKMA 500 mg, poudre pour solution pour perfusion"
"ACIDE ACETYLSALICYLIQUE 1 g, poudre et solvant pour solution injectable"
"ACIDE ACETYLSALICYLIQUE 100 mg, comprimé gastro-résistant"
"ACIDE ACETYLSALICYLIQUE 500 mg, poudre et solvant pour solution injectable"
"ACIDE ACETYLSALICYLIQUE 500 mg, poudre pour solution injectable"
"ACIDE ACETYLSALICYLIQUE 75 mg, comprimé gastro-résistant"
"ACIDE ACÉTYLSALICYLIQUE CONSEIL 500 mg, comprimé"
"ACIDE ALENDRONIQUE 70 mg, comprimé"
"ACIDE ALENDRONIQUE 70 mg, comprimé pelliculé"
"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) 70 mg/2 800 UI, comprimé"
"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) 70 mg/2800 UI, comprimé"
"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) 70 mg/5 600 UI, comprimé"
"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) 70 mg/5600 UI, comprimé"
"ACIDE ALENDRONIQUE/VITAMINE D3 70 mg/2 800 UI, comprimé"
"ACIDE ALENDRONIQUE/VITAMINE D3 70 mg/2800 UI, comprimé"
"ACIDE ALENDRONIQUE/VITAMINE D3 70 mg/5 600 UI, comprimé"
"ACIDE ALENDRONIQUE/VITAMINE D3 70 mg/5600 UI, comprimé"
"ACIDE CARGLUMIQUE TILLOMED 200 mg, comprimé dispersible sécable"
"ACIDE CARGLUMIQUE WAYMADE 200 mg, comprimé dispersible"
"ACIDE FOLIQUE 0,4 mg, comprimé"
"ACIDE FOLIQUE 5 mg, comprimé"
"ACIDE FOLIQUE CCD 0,4 mg, comprimé"
"ACIDE FOLIQUE CCD 5 mg, comprimé"
"ACIDE TIAPROFENIQUE 100 mg, comprimé sécable"
"ACIDE TRANEXAMIQUE 0,5 g/5 mL, solution injectable"
"ACIDE TRANEXAMIQUE 0,5 g/5 ml I.V., solution injectable"
"ACIDE TRANEXAMIQUE AGUETTANT 0,5 g/5 mL, solution injectable"
"ACIDE TRANEXAMIQUE TILLOMED 0,5 g/5 mL, solution injectable"
"ACIDE URSODESOXYCHOLIQUE 250 mg, comprimé pelliculé"
"ACIDE URSODESOXYCHOLIQUE 500 mg, comprimé pelliculé sécable"
"ACIDE URSODESOXYCHOLIQUE MEDIPHA 250 mg, gélule"
"ACIDE URSODESOXYCHOLIQUE MEDIPHA 500 mg, gélule"
"ACIDE URSODESOXYCHOLIQUE SUBSTIPHARM 250 mg, comprimé pelliculé"
"ACIDE ZOLEDRONIQUE 4 mg/100 ml, solution pour perfusion"
"ACIDE ZOLEDRONIQUE 4 mg/5 ml, solution à diluer pour perfusion"
"ACIDE ZOLEDRONIQUE 5 mg/100 mL, solution pour perfusion"
"ACIDE ZOLEDRONIQUE 5 mg/100 ml, solution pour perfusion"
"ACIDE ZOLEDRONIQUE ALTAN 4 mg/100 ml, solution pour perfusion"
"ACIDE ZOLEDRONIQUE ALTAN 5 mg/100 ml, solution pour perfusion"
"ACIDE ZOLEDRONIQUE HOSPIRA 4 mg/100 ml, solution pour perfusion"
"ACIDE ZOLEDRONIQUE MEDAC 4 mg/100 ml, solution pour perfusion"
"ACIDE ZOLEDRONIQUE TILLOMED 4 mg/5 mL, solution à diluer pour perfusion"
"ACIDRINE, comprimé à croquer"
"ACIDUM PHOSPHORICUM COMPLEXE N°5, solution buvable en gouttes"
ACIDUM PHOSPHORICUM COMPOSE
"ACLASTA 5 mg, solution pour perfusion"
"ACLOTINE 100 UI/mL, poudre et solvant pour solution injectable"
"ACODORON, solution injectable"
"ACORSPRAY 200 microgrammes par inhalation, solution pour inhalation en flacon pressurisé"
"ACT-HIB 10 microgrammes/0,5 mL, poudre et solvant pour solution injectable en seringue préremplie. Vaccin conjugué de l'Haemophilus type b"
"ACTAPULGITE 3 g, poudre pour suspension buvable en sachet"
"ACTHEANE, comprimé"
"ACTICARBINE 70 mg, comprimé enrobé"
"ACTICARBINE, comprimé enrobé"
"ACTIFED RHUME JOUR ET NUIT, comprimé"
"ACTIFED RHUME, comprimé"
"ACTILYSE 2 mg, poudre pour solution injectable et perfusion"
"ACTILYSE, poudre et solvant pour solution injectable et perfusion"
"ACTIQ 1200 microgrammes, comprimé avec applicateur buccal"
"ACTIQ 1600 microgrammes, comprimé avec applicateur buccal"
"ACTIQ 200 microgrammes, comprimé avec applicateur buccal"
"ACTIQ 400 microgrammes, comprimé avec applicateur buccal"
"ACTIQ 600 microgrammes, comprimé avec applicateur buccal"
"ACTIQ 800 microgrammes, comprimé avec applicateur buccal"
"ACTISKENAN 1 mg, comprimé orodispersible"
"ACTISKENAN 10 mg, comprimé orodispersible"
"ACTISKENAN 10 mg, gélule"
"ACTISKENAN 2,5 mg, comprimé orodispersible"
"ACTISKENAN 20 mg, comprimé orodispersible"
"ACTISKENAN 20 mg, gélule"
"ACTISKENAN 30 mg, comprimé orodispersible"
"ACTISKENAN 30 mg, gélule"
"ACTISKENAN 5 mg, comprimé orodispersible"
"ACTISKENAN 5 mg, gélule"
"ACTISOUFRE 4 mg/50 mg par 10 ml, suspension buvable ou pour instillation nasale"
"ACTISOUFRE, solution pour pulvérisation nasale/buccale en flacon pressurisé"
"ACTIVELLE, comprimé pelliculé"
"ACTIVOX RHUME PELARGONIUM, solution buvable"
"ACTONEL 30 mg, comprimé pelliculé"
"ACTONEL 35 mg, comprimé gastro-résistant"
"ACTONEL 35 mg, comprimé pelliculé"
"ACTONEL 5 mg, comprimé pelliculé"
"ACTONEL 75 mg, comprimé pelliculé"
"ACTONELCOMBI 35 mg + 1000 mg/880 UI, comprimé pelliculé et granulés effervescents"
"ACTOSOLV 100 000 UI, poudre pour solution injectable/pour perfusion"
"ACTOSOLV 600 000 UI, poudre pour solution injectable/pour perfusion"
"ACTRAPID 100 unités internationales/ml, solution injectable"
"ACTRAPID PENFILL 100 unités internationales/ml, solution injectable en cartouche"
"ACTRON, comprimé effervescent"
"ACTYNOX 50 %/50 % v/v, gaz médicinal comprimé"
"ACUILIX 20 mg/12,5 mg, comprimé pelliculé sécable"
"ACUITEL 20 mg, comprimé enrobé sécable"
"ACUITEL 5 mg, comprimé enrobé sécable"
"ACULAR 0,5 %, collyre en solution"
"ACUPAN 20 mg/2 mL, solution injectable"
"ACUPAN, comprimé"
"ACUSPOT 5%, gel"
"ADAFLEX 1 mg, comprimé"
"ADAFLEX 2 mg, comprimé"
"ADAFLEX 5 mg, comprimé"
"ADAKVEO 10 mg/mL, solution à diluer pour perfusion"
"ADAPALENE 0,1 %, gel"
"ADARTREL 0,25 mg, comprimé pelliculé"
"ADARTREL 0,50 mg, comprimé pelliculé"
"ADARTREL 2 mg, comprimé pelliculé"
"ADCETRIS 50 mg, poudre pour solution à diluer pour perfusion"
"ADCIRCA 20 mg, comprimé pelliculé"
"ADEMPAS 0,5 mg, comprimé pelliculé"
"ADEMPAS 1 mg, comprimé pelliculé"
"ADEMPAS 1,5 mg, comprimé pelliculé"
"ADEMPAS 2 mg, comprimé pelliculé"
"ADEMPAS 2,5 mg, comprimé pelliculé"
"ADENOSCAN 30 mg/10 mL, solution pour perfusion"
"ADENOSINE 30 mg/10 ml, solution pour perfusion"
"ADENOSINE 6 mg/2 ml, solution injectable"
"ADENOSINE HIKMA 6 mg/2 mL, solution injectable"
"ADENOSINE MEDISOL 6 mg/2 ml, solution injectable"
